"kante"	"edge_var_num"	"index"
"99_100"	12	8
"98_99"	12	4
"97_98"	12	2
"96_97"	12	1
"95_96"	11	32768
"94_95"	11	16384
"93_94"	11	8192
"92_93"	11	4096
"91_92"	11	2048
"90_100"	11	1024
"89_99"	11	512
"89_90"	11	256
"88_98"	11	128
"88_89"	11	64
"87_97"	11	32
"87_88"	11	16
"86_96"	11	8
"86_87"	11	4
"85_95"	11	2
"85_86"	11	1
"84_94"	10	32768
"84_85"	10	16384
"83_93"	10	8192
"83_84"	10	4096
"82_92"	10	2048
"82_83"	10	1024
"81_91"	10	512
"81_82"	10	256
"80_90"	10	128
"79_89"	10	64
"79_80"	10	32
"78_88"	10	16
"78_79"	10	8
"77_87"	10	4
"77_78"	10	2
"76_86"	10	1
"76_77"	9	32768
"75_85"	9	16384
"75_76"	9	8192
"74_84"	9	4096
"74_75"	9	2048
"73_83"	9	1024
"73_74"	9	512
"72_82"	9	256
"72_73"	9	128
"71_81"	9	64
"71_72"	9	32
"70_80"	9	16
"69_79"	9	8
"69_70"	9	4
"68_78"	9	2
"68_69"	9	1
"67_77"	8	32768
"67_68"	8	16384
"66_76"	8	8192
"66_67"	8	4096
"65_75"	8	2048
"65_66"	8	1024
"64_74"	8	512
"64_65"	8	256
"63_73"	8	128
"63_64"	8	64
"62_72"	8	32
"62_63"	8	16
"61_71"	8	8
"61_62"	8	4
"60_70"	8	2
"59_69"	8	1
"59_60"	7	32768
"58_68"	7	16384
"58_59"	7	8192
"57_67"	7	4096
"57_58"	7	2048
"56_66"	7	1024
"56_57"	7	512
"55_65"	7	256
"55_56"	7	128
"54_64"	7	64
"54_55"	7	32
"53_63"	7	16
"53_54"	7	8
"52_62"	7	4
"52_53"	7	2
"51_61"	7	1
"51_52"	6	32768
"50_60"	6	16384
"49_59"	6	8192
"49_50"	6	4096
"48_58"	6	2048
"48_49"	6	1024
"47_57"	6	512
"47_48"	6	256
"46_56"	6	128
"46_47"	6	64
"45_55"	6	32
"45_46"	6	16
"44_54"	6	8
"44_45"	6	4
"43_53"	6	2
"43_44"	6	1
"42_52"	5	32768
"42_43"	5	16384
"41_51"	5	8192
"41_42"	5	4096
"40_50"	5	2048
"39_49"	5	1024
"39_40"	5	512
"38_48"	5	256
"38_39"	5	128
"37_47"	5	64
"37_38"	5	32
"36_46"	5	16
"36_37"	5	8
"35_45"	5	4
"35_36"	5	2
"34_44"	5	1
"34_35"	4	32768
"33_43"	4	16384
"33_34"	4	8192
"32_42"	4	4096
"32_33"	4	2048
"31_41"	4	1024
"31_32"	4	512
"30_40"	4	256
"29_39"	4	128
"29_30"	4	64
"28_38"	4	32
"28_29"	4	16
"27_37"	4	8
"27_28"	4	4
"26_36"	4	2
"26_27"	4	1
"25_35"	3	32768
"25_26"	3	16384
"24_34"	3	8192
"24_25"	3	4096
"23_33"	3	2048
"23_24"	3	1024
"22_32"	3	512
"22_23"	3	256
"21_31"	3	128
"21_22"	3	64
"20_30"	3	32
"19_29"	3	16
"19_20"	3	8
"18_28"	3	4
"18_19"	3	2
"17_27"	3	1
"17_18"	2	32768
"16_26"	2	16384
"16_17"	2	8192
"15_25"	2	4096
"15_16"	2	2048
"14_24"	2	1024
"14_15"	2	512
"13_23"	2	256
"13_14"	2	128
"12_22"	2	64
"12_13"	2	32
"11_21"	2	16
"11_12"	2	8
"10_20"	2	4
"9_19"	2	2
"9_10"	2	1
"8_18"	1	32768
"8_9"	1	16384
"7_17"	1	8192
"7_8"	1	4096
"6_16"	1	2048
"6_7"	1	1024
"5_15"	1	512
"5_6"	1	256
"4_14"	1	128
"4_5"	1	64
"3_13"	1	32
"3_4"	1	16
"2_12"	1	8
"2_3"	1	4
"1_2"	1	1
"1_11"	1	2
